Annotation source,Category/term pathway,Functional group,Gene count,Representative genes/proteins
GO,Both (Cross-functional),Both,6,KOPMJODN_00713; KOPMJODN_00824; KOPMJODN_03427; KOPMJODN_03428; KOPMJODN_03429; KOPMJODN_03430
GO,response to stress (GO:0006950),Stress response,59,KOPMJODN_00052; KOPMJODN_00066; KOPMJODN_00078; KOPMJODN_00131; KOPMJODN_00175; KOPMJODN_00179; KOPMJODN_00188; KOPMJODN_00189; KOPMJODN_00274; KOPMJODN_00392; KOPMJODN_00405; KOPMJODN_00406; KOPMJODN_00416; KOPMJODN_00491; KOPMJODN_00632; KOPMJODN_00706; KOPMJODN_00713; KOPMJODN_00829; KOPMJODN_00849; KOPMJODN_00963; KOPMJODN_00964; KOPMJODN_01004; KOPMJODN_01048; KOPMJODN_01049; KOPMJODN_01059; KOPMJODN_01147; KOPMJODN_01181; KOPMJODN_01327; KOPMJODN_01393; KOPMJODN_01555; KOPMJODN_01578; KOPMJODN_01579; KOPMJODN_01730; KOPMJODN_01754; KOPMJODN_01760; KOPMJODN_01774; KOPMJODN_01820; KOPMJODN_02058; KOPMJODN_02103; KOPMJODN_02321; KOPMJODN_02337; KOPMJODN_02631; KOPMJODN_02632; KOPMJODN_02647; KOPMJODN_02650; KOPMJODN_02663; KOPMJODN_02934; KOPMJODN_03106; KOPMJODN_03184; KOPMJODN_03196; KOPMJODN_03245; KOPMJODN_03311; KOPMJODN_03362; KOPMJODN_03369; KOPMJODN_03427; KOPMJODN_03428; KOPMJODN_03429; KOPMJODN_03430; KOPMJODN_03663
GO,DNA repair (GO:0006281),Stress response,24,KOPMJODN_00131; KOPMJODN_00175; KOPMJODN_00179; KOPMJODN_00392; KOPMJODN_00406; KOPMJODN_00491; KOPMJODN_00632; KOPMJODN_00706; KOPMJODN_00849; KOPMJODN_01048; KOPMJODN_01049; KOPMJODN_01147; KOPMJODN_01181; KOPMJODN_01393; KOPMJODN_01555; KOPMJODN_01578; KOPMJODN_01579; KOPMJODN_01760; KOPMJODN_01820; KOPMJODN_02058; KOPMJODN_02103; KOPMJODN_03106; KOPMJODN_03245; KOPMJODN_03369
GO,tetrapyrrole metabolic process (GO:0033013),Stress response,9,KOPMJODN_00223; KOPMJODN_00225; KOPMJODN_00369; KOPMJODN_01191; KOPMJODN_01262; KOPMJODN_02781; KOPMJODN_03063; KOPMJODN_03064; KOPMJODN_03388
GO,response to antibiotic (GO:0046677),Stress response,7,KOPMJODN_00066; KOPMJODN_00824; KOPMJODN_01754; KOPMJODN_01901; KOPMJODN_02934; KOPMJODN_02981; KOPMJODN_03139
GO,protein folding (GO:0006457),Stress response,3,KOPMJODN_00713; KOPMJODN_03310; KOPMJODN_03311
GO,cellular response to starvation (GO:0009267),Stress response,2,KOPMJODN_00066; KOPMJODN_00713
GO,response to heat (GO:0009408),Stress response,2,KOPMJODN_00713; KOPMJODN_02631
GO,response to osmotic stress (GO:0006970),Stress response,2,KOPMJODN_01327; KOPMJODN_03362
GO,chemotaxis (GO:0006935),Environmental adaptation,7,KOPMJODN_01108; KOPMJODN_01109; KOPMJODN_01121; KOPMJODN_01122; KOPMJODN_01346; KOPMJODN_01353; KOPMJODN_03084
GO,xenobiotic transmembrane transport (GO:0006855),Environmental adaptation,5,KOPMJODN_00089; KOPMJODN_00317; KOPMJODN_00629; KOPMJODN_00824; KOPMJODN_02130
GO,response to copper ion (GO:0046688),Environmental adaptation,4,KOPMJODN_03427; KOPMJODN_03428; KOPMJODN_03429; KOPMJODN_03430
GO,phosphorelay signal transduction system (GO:0000160),Environmental adaptation,3,KOPMJODN_00148; KOPMJODN_00247; KOPMJODN_00493
GO,biofilm formation (GO:0042710),Environmental adaptation,1,KOPMJODN_00493
GO,cellular response to oxygen levels (GO:0071453),Environmental adaptation,1,KOPMJODN_00713
