Annotation source,Category/term pathway,Functional group,Gene count,Representative genes/proteins
KEGG,Both (Cross-functional),Both,33,KOPMJODN_00016; KOPMJODN_00017; KOPMJODN_00264; KOPMJODN_00269; KOPMJODN_00419; KOPMJODN_00530; KOPMJODN_00605; KOPMJODN_01009; KOPMJODN_01020; KOPMJODN_01155; KOPMJODN_01158; KOPMJODN_01310; KOPMJODN_01441; KOPMJODN_01446; KOPMJODN_01447; KOPMJODN_01560; KOPMJODN_02010; KOPMJODN_02075; KOPMJODN_02211; KOPMJODN_02212; KOPMJODN_02213; KOPMJODN_02220; KOPMJODN_03097; KOPMJODN_03159; KOPMJODN_03160; KOPMJODN_03166; KOPMJODN_03167; KOPMJODN_03168; KOPMJODN_03169; KOPMJODN_03170; KOPMJODN_03279; KOPMJODN_03443; KOPMJODN_03479
KEGG,ABC transporters (map02010),Stress response,106,KOPMJODN_00008; KOPMJODN_00009; KOPMJODN_00010; KOPMJODN_00011; KOPMJODN_00012; KOPMJODN_00013; KOPMJODN_00026; KOPMJODN_00027; KOPMJODN_00028; KOPMJODN_00163; KOPMJODN_00164; KOPMJODN_00165; KOPMJODN_00207; KOPMJODN_00208; KOPMJODN_00291; KOPMJODN_00292; KOPMJODN_00293; KOPMJODN_00294; KOPMJODN_00420; KOPMJODN_00421; KOPMJODN_00422; KOPMJODN_00423; KOPMJODN_00754; KOPMJODN_01219; KOPMJODN_01417; KOPMJODN_01418; KOPMJODN_01445; KOPMJODN_01448; KOPMJODN_01691; KOPMJODN_01744; KOPMJODN_01749; KOPMJODN_01750; KOPMJODN_01757; KOPMJODN_01758; KOPMJODN_01759; KOPMJODN_02011; KOPMJODN_02012; KOPMJODN_02013; KOPMJODN_02036; KOPMJODN_02037; KOPMJODN_02079; KOPMJODN_02080; KOPMJODN_02114; KOPMJODN_02202; KOPMJODN_02203; KOPMJODN_02204; KOPMJODN_02205; KOPMJODN_02207; KOPMJODN_02208; KOPMJODN_02209; KOPMJODN_02210; KOPMJODN_02229; KOPMJODN_02230; KOPMJODN_02231; KOPMJODN_02232; KOPMJODN_02233; KOPMJODN_02258; KOPMJODN_02259; KOPMJODN_02266; KOPMJODN_02267; KOPMJODN_02268; KOPMJODN_02269; KOPMJODN_02279; KOPMJODN_02280; KOPMJODN_02281; KOPMJODN_02304; KOPMJODN_02323; KOPMJODN_02324; KOPMJODN_02325; KOPMJODN_02344; KOPMJODN_02345; KOPMJODN_02346; KOPMJODN_02349; KOPMJODN_02415; KOPMJODN_02556; KOPMJODN_02729; KOPMJODN_02730; KOPMJODN_02731; KOPMJODN_02732; KOPMJODN_02743; KOPMJODN_02744; KOPMJODN_02745; KOPMJODN_02759; KOPMJODN_02760; KOPMJODN_02761; KOPMJODN_02804; KOPMJODN_02805; KOPMJODN_02806; KOPMJODN_02815; KOPMJODN_02816; KOPMJODN_02817; KOPMJODN_02908; KOPMJODN_02909; KOPMJODN_02910; KOPMJODN_02936; KOPMJODN_02937; KOPMJODN_02938; KOPMJODN_03022; KOPMJODN_03023; KOPMJODN_03079; KOPMJODN_03083; KOPMJODN_03419; KOPMJODN_03488; KOPMJODN_03489; KOPMJODN_03490; KOPMJODN_03634
KEGG,Homologous recombination (map03440),Stress response,20,KOPMJODN_00115; KOPMJODN_00131; KOPMJODN_00259; KOPMJODN_00260; KOPMJODN_00272; KOPMJODN_00287; KOPMJODN_00363; KOPMJODN_00392; KOPMJODN_01059; KOPMJODN_01095; KOPMJODN_01166; KOPMJODN_01181; KOPMJODN_01555; KOPMJODN_01557; KOPMJODN_01575; KOPMJODN_01975; KOPMJODN_03555; KOPMJODN_03719; KOPMJODN_03740; KOPMJODN_03742
KEGG,Mismatch repair (map03430),Stress response,19,KOPMJODN_00115; KOPMJODN_00179; KOPMJODN_00272; KOPMJODN_00363; KOPMJODN_00485; KOPMJODN_00486; KOPMJODN_01048; KOPMJODN_01049; KOPMJODN_01095; KOPMJODN_01557; KOPMJODN_01575; KOPMJODN_01975; KOPMJODN_02247; KOPMJODN_03208; KOPMJODN_03245; KOPMJODN_03246; KOPMJODN_03555; KOPMJODN_03719; KOPMJODN_03740
KEGG,RNA degradation (map03018),Stress response,15,KOPMJODN_00119; KOPMJODN_00372; KOPMJODN_00405; KOPMJODN_00632; KOPMJODN_00849; KOPMJODN_01057; KOPMJODN_01075; KOPMJODN_01084; KOPMJODN_01298; KOPMJODN_01725; KOPMJODN_01903; KOPMJODN_02196; KOPMJODN_02222; KOPMJODN_02647; KOPMJODN_03310
KEGG,Carbon fixation in prokaryotes (map00710),Stress response,14,KOPMJODN_00128; KOPMJODN_00138; KOPMJODN_00631; KOPMJODN_00960; KOPMJODN_01173; KOPMJODN_01655; KOPMJODN_01685; KOPMJODN_01899; KOPMJODN_01902; KOPMJODN_01919; KOPMJODN_02192; KOPMJODN_02193; KOPMJODN_02194; KOPMJODN_03630
KEGG,Base excision repair (map03410),Stress response,11,KOPMJODN_00131; KOPMJODN_00132; KOPMJODN_00272; KOPMJODN_00406; KOPMJODN_00703; KOPMJODN_01579; KOPMJODN_01760; KOPMJODN_01820; KOPMJODN_03245; KOPMJODN_03369; KOPMJODN_03413
KEGG,Glutathione metabolism (map00480),Stress response,9,KOPMJODN_00127; KOPMJODN_00533; KOPMJODN_00534; KOPMJODN_00751; KOPMJODN_00889; KOPMJODN_01286; KOPMJODN_01872; KOPMJODN_01997; KOPMJODN_02413
KEGG,Nucleotide excision repair (map03420),Stress response,9,KOPMJODN_00131; KOPMJODN_00189; KOPMJODN_02089; KOPMJODN_02090; KOPMJODN_02247; KOPMJODN_03208; KOPMJODN_03245; KOPMJODN_03246; KOPMJODN_03531
KEGG,Protein export (map03060),Stress response,6,KOPMJODN_00453; KOPMJODN_01208; KOPMJODN_02833; KOPMJODN_02834; KOPMJODN_03314; KOPMJODN_03315
