locus_tag	ftype	length_bp	gene	EC_number	COG	product
KOPMJODN_00001	gene	1293	dltA_1			
KOPMJODN_00001	CDS	1293	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
KOPMJODN_00002	gene	2745	gloB_1			
KOPMJODN_00002	CDS	2745	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
KOPMJODN_00003	gene	1098				
KOPMJODN_00003	CDS	1098				hypothetical protein
KOPMJODN_00004	gene	1650	pksJ_1			
KOPMJODN_00004	CDS	1650	pksJ_1		COG0318	Polyketide synthase PksJ
KOPMJODN_00005	gene	273				
KOPMJODN_00005	CDS	273				hypothetical protein
KOPMJODN_00006	gene	117				
KOPMJODN_00006	CDS	117				hypothetical protein
KOPMJODN_00007	gene	393	ytrA_1			
KOPMJODN_00007	CDS	393	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
KOPMJODN_00008	gene	879	ytrB			
KOPMJODN_00008	CDS	879	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
KOPMJODN_00009	gene	987	ytrC_1			
KOPMJODN_00009	CDS	987	ytrC_1			putative ABC transporter permease YtrC
KOPMJODN_00010	gene	987	ytrC_2			
KOPMJODN_00010	CDS	987	ytrC_2			putative ABC transporter permease YtrC
KOPMJODN_00011	gene	987	ytrC_3			
KOPMJODN_00011	CDS	987	ytrC_3			putative ABC transporter permease YtrC
KOPMJODN_00012	gene	696	ytrE			
KOPMJODN_00012	CDS	696	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
KOPMJODN_00013	gene	1314	ytrF			
KOPMJODN_00013	CDS	1314	ytrF		COG0577	ABC transporter permease YtrF
KOPMJODN_00014	gene	696	graR_1			
KOPMJODN_00014	CDS	696	graR_1		COG0745	Response regulator protein GraR
KOPMJODN_00015	gene	963	graS_1			
KOPMJODN_00015	CDS	963	graS_1	2.7.13.3		Sensor histidine kinase GraS
KOPMJODN_00016	gene	753	bceA			
KOPMJODN_00016	CDS	753	bceA		COG1136	Bacitracin export ATP-binding protein BceA
KOPMJODN_00017	gene	1941	bceB			
KOPMJODN_00017	CDS	1941	bceB		COG0577	Bacitracin export permease protein BceB
KOPMJODN_00018	gene	720				
KOPMJODN_00018	CDS	720				hypothetical protein
KOPMJODN_00019	gene	1185	mdrP			
KOPMJODN_00019	CDS	1185	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
KOPMJODN_00020	gene	786	pfyP			
KOPMJODN_00020	CDS	786	pfyP			Blue-light photoreceptor
KOPMJODN_00021	gene	336				
KOPMJODN_00021	CDS	336				hypothetical protein
KOPMJODN_00022	gene	2415	leuS			
KOPMJODN_00022	CDS	2415	leuS	6.1.1.4		Leucine--tRNA ligase
